Chinese,Japanese,Group,Speed(+-10)
「蕎麦屋」;蕎麥面店,そばや,建筑名,-6
「床屋」;理發店,とこや,建筑名,-6
「薬局」;藥店,やっきょく,建筑名,-6
「喫茶店」;Coffee館,きっさてん,建筑名,-6
賓館,ホテル,建筑名,-6
百貨商店,デパート,建筑名,-6
超市,スーパー,建筑名,-6
便利店,コンビニ,建筑名,-6
餐館,レストラン,建筑名,-6
加油站,ガソリンスタンド,建筑名,-6
「上」,うえ,方向,-6
「外」,そと,方向,-6
「中」,なか,方向,-6
「下」,した,方向,-6
「前」,まえ,方向,-6
「後ろ」,うしろ,方向,-6
「近く」,ちかく,方向,-6
「右」,みぎ,方向,-6
「左」,ひだり,方向,-6
「隣」,となり,方向,-6
前天,おととい,時間,-6
「昨日」,きのう,時間,-6
「今日」,きょう,時間,-6
「明日」,あした,時間,-6
后天,あさって,時間,-6
「毎日」,まいにち,時間,-6
前天早上,おとといのあさ,時間,-6
「昨日の朝」,きのうのあさ,時間,-6
「今朝」,けさ,時間,-6
「明日の朝」,あしたのあさ,時間,-6
后天早上,あさってのあさ,時間,-6
「毎朝」,まいあさ,時間,-6
前天卍上,おとといばん,時間,-6
「昨夜」,ゆうべ,時間,-6
「今晩」,こんばん,時間,-6
「明日の晩」,あしたのばん,時間,-6
后天卍上,あさってのばん,時間,-6
「毎晩」,まいばん,時間,-6
「先々週」;上上周,せんせんしゅう,時間,-6
「先週」,せんしゅう,時間,-6
「今週」,こんしゅう,時間,-6
「来週」,らいしゅう,時間,-6
「再来週」;下下周,さらいしゅう,時間,-6
「毎週」,まいしゅう,時間,-6
「先々月」;上上月,せんせんげつ,時間,-6
「先月」,せんげつ,時間,-6
「今月」,こんげつ,時間,-6
「来月」,らいげつ,時間,-6
「再来月」;下下月,さらいげつ,時間,-6
「毎月」,まいげつ,時間,-6
前年,おととし,時間,-6
「去年」,きょねん,時間,-6
「今年」,ことし,時間,-6
「来年」,らいねん,時間,-6
「再来年」;后年,さらいねん,時間,-6
「毎年」,まいねん,時間,-6
「時」,じ,時間,-6
「分」一三四六八十何,ぷん,時間,-6
「四時」,よじ,時間,-6
「七時」,しちじ,時間,-6
「九時」,くじ,時間,-6
「何月」,なんがつ,月,-6
「四月」,しがつ,月,-6
「七月」,しちがつ,月,-6
「九月」,くがつ,月,-6
「一日」,ついたち,日暦,-6
「二日」,ふつか,日暦,-6
「三日」,みっか,日暦,-6
「四日」,よっか,日暦,-6
「五日」,いつか,日暦,-6
「六日」,むいか,日暦,-6
「七日」,なのか,日暦,-6
